entity_id,entity_name,entity_class,entity_class_name,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
12106,岩見沢市,7,6: 人口３万人以上１０万人未満の市区町村,提出済,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2023.0,2030.0,8.0,岩見沢市地球温暖化防止実行計画(事務事業編),1.0,https://www.city.iwamizawa.hokkaido.jp/material/files/group/22/jimujigyouhen.pdf,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,2.0,,1.0,3.0,4.0,,2023.0,2030.0,8.0,岩見沢市地球温暖化防止実行計画（区域施策編）,1.0,https://www.city.iwamizawa.hokkaido.jp/material/files/group/22/keikaku.pdf,3.0,,1.0,2030.0,,,,,,,,,2.0,2.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,,,,2.0,,,,,,,,,,,1.0,
12114,網走市,7,6: 人口３万人以上１０万人未満の市区町村,提出済,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2026.0,2022.0,2026.0,5.0,第4期網走市地球温暖化対策実行計画【事務事業編】,1.0,https://www.city.abashiri.hokkaido.jp/soshiki/10/1071.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,1.0,,,2.0,,1.0,1.0,3.0,,2023.0,2050.0,28.0,網走市地球温暖化対策実行計画【区域施策編】,1.0,https://www.city.abashiri.hokkaido.jp/soshiki/10/6237.html,3.0,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,3.0,,5.0,,,,2.0,,,,,,,,,,,1.0,
12122,留萌市,8,7: 人口１万人以上３万人未満の市町村,提出済,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2026.0,2022.0,2026.0,5.0,第3次留萌市地球温暖化防止実行計画,1.0,https://www.e-rumoi.jp/kankyou/page27_00085.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,1.0,,,2.0,,1.0,2.0,2.0,2024.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,4.0,,,,2.0,,,,,,,1.0,1.0,,,,
12131,苫小牧市,6,5: 人口１０万人以上で、上記以外の市区町村,提出済,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2023.0,2030.0,8.0,第4期苫小牧市役所エコオフィスプラン,1.0,http://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/ekoofisu.html,3.0,,2013,65652,2030,37173,43.37,2023,53168,19.01,53168,19.01,2.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,2.0,,1.0,1.0,3.0,,2022.0,2030.0,9.0,苫小牧市第４次環境基本計画〜第１期ゼロカーボン推進計画〜,1.0,http://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/chikyuondanka.html,3.0,,1.0,2030.0,2013.0,5086347.0,2021.0,3890000.0,23.52,2030.0,2638993.0,48.11,2.0,1.0,2.0,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,4.0,,,,2.0,,,,,,,,,,,1.0,
12149,稚内市,7,6: 人口３万人以上１０万人未満の市区町村,提出済,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2023.0,2030.0,8.0,第3次稚内市地球温暖化対策実行計画(事務事業編),1.0,https://www.city.wakkanai.hokkaido.jp/shisei/seisaku/keikaku/ondankataisakukeikaku.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,1.0,,,2.0,,1.0,1.0,3.0,,2023.0,2030.0,8.0,第2次稚内市地球温暖化対策実行計画（区域施策編）,1.0,https://www.city.wakkanai.hokkaido.jp/shisei/seisaku/keikaku/ondankataisakukeikaku.html,3.0,,1.0,2030.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,1.0,3.0,,,,2.0,,,,,,,1.0,,,,,
12157,美唄市,8,7: 人口１万人以上３万人未満の市町村,提出済,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2028.0,2023.0,,,美唄市地球温暖化対策実行計画（第4期計画）,1.0,https://www.city.bibai.hokkaido.jp/soshiki/6/841.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,,,,2.0,,,,,,,,,,,1.0,
12165,芦別市,8,7: 人口１万人以上３万人未満の市町村,提出済,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2024.0,2020.0,2024.0,5.0,第3期芦別市地球温暖化対策実行計画（事務事業編）,1.0,https://www.city.ashibetsu.hokkaido.jp/docs/5062.html,2.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,2.0,,1.0,1.0,2.0,2024.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,2.0,,,,,,,,,,,1.0,
12173,江別市,6,5: 人口１０万人以上で、上記以外の市区町村,提出済,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2024.0,2033.0,10.0,第４期江別市地球温暖化対策実行計画（事務事業編）,1.0,https://www.city.ebetsu.hokkaido.jp/soshiki/kankyo/126803.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,2.0,,1.0,1.0,3.0,,2024.0,2033.0,10.0,第２次江別市環境管理計画兼地球温暖化対策実行計画（区域施策編）,1.0,https://www.city.ebetsu.hokkaido.jp/soshiki/kankyo/125931.html,3.0,,1.0,2033.0,,,,,,,,,2.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,5.0,,,,2.0,,,,,,,,,,,1.0,
12181,赤平市,9,8: 人口１万人未満の市町村,提出済,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2018.0,2030.0,13.0,第２次赤平市地球温暖化対策実行計画,1.0,https://www.city.akabira.hokkaido.jp/docs/2019070900026.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,1.0,2.0,,2.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,,,,2.0,,,,,,,,,,,1.0,
12190,紋別市,8,7: 人口１万人以上３万人未満の市町村,提出済,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2028.0,2024.0,2028.0,5.0,紋別市地球温暖化対策実行計画,1.0,https://mombetsu.jp/administration/?content=1370,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,1.0,,,2.0,,1.0,1.0,4.0,2032.0,2022.0,2050.0,29.0,紋別市地球温暖化対策実行計画（区域施策編）,1.0,https://mombetsu.jp/administration/?content=1370,3.0,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,2.0,,,,,,,,,,,1.0,
